Entities,Metadata attribute,Metadata Value
Project,,
,investigation type,eukaryote
,Title,Variation of DNA methylation across diverse maize inbred lines
,,
Specimen,,
,specimen ID,"B73,Mo17,Oh43,CML322,Tx303"
,taxon name,Zea Mays
,haploid chromosomes count,10
,ploidy,diploid
,organ/tissue,leaf
,developmental stage,14 days old seedling
,estimated genome size,2300 Mb
,propagation,selfing
,,
Sequencing,,
,sequencing method,whole genome bisulfite sequencing
,sequencing_hardware,Illumina HiSeq 2000
,,
,,
Assembly,,
,assembly method,Bismark or BSMAP
,reference sequence,Maize AGPv2
,assembly software,Bismark or BSMAP
,assembly software version,Bismark 0.10.1
,input file type,trimmed FastQ
Analysis,,
,analysis method,"100bp tile for CpG,CHG,CHH methylation"
,analysis software,Python script
Results,,
,Publisher,Plant Physiology
,publicationYear,2015
,Identifier,DOI
,identifierType,
,Subject,Plant biology
,Date,"April, 2015"
,ResourceType/resourceTypeGeneral/,
,relatedIdentifier,http://www.plantphysiol.org/content/168/4/1262.long
,relatedIdentifierType,URL
,Description/abstract/methods,
,Geolocation/geoLocationPoint/geoLocationBox,
,Size,
,Format,
,Version,
,Rights/rightsuri,
,relatedMetadataScheme/schemeURI/,
,hasMetadata,
